Position,MeanYear,Longitude,Latitude
Forward,1909,8.7167,48.9019
Midfielder,1909,13.7333,51.0333
Midfielder,1909,19.0514,47.4925
Forward,1909,-4.5028,55.8347
Defender,1909,-3.5686,55.8519
Forward,1909.5,-58.3817,-34.6033
Forward,1909.5,,
Forward,1909.5,3.2333,51.2167
Midfielder,1909.5,-1.5581,54.5439
Midfielder,1909.5,19.0514,47.4925
Midfielder,1910,14.4167,50.0833
Midfielder,1910,16.3667,48.2
Forward,1910,16.3667,48.2
Goalkeeper,1910,4.35,50.85
Defender,1910,-2.4769,53.745
Defender,1910,-1.4669,53.3836
Forward,1910,-2.5942,53.4758
Forward,1910,-2.9892,53.4458
Forward,1910,-1.4408,54.9447
Forward,1910,12.3833,51.3333
Midfielder,1910,10.7661,52.0667
Forward,1910,9.8828,53.5931
Defender,1910,15.2,37.7333
Midfielder,1910,7.7,45.0667
Forward,1910,9.1833,45.4667
,1910,4.3167,52.0833
Defender,1910,-2.5858,56.5614
Defender,1910,-4.4867,55.5133
Forward,1910,-3.3111,56.1281
Forward,1910,13.4167,57.7833
Forward,1910,13.4167,57.7833
Defender,1910,15.2,37.7333
Forward,1910.5,-1.9497,52.5125
Forward,1910.5,-1.3333,54.8333
Midfielder,1910.5,8.7167,48.9019
Forward,1910.5,13.4033,52.5692
Defender,1910.5,19.0514,47.4925
,1911,-0.1167,51.5
,1911,-58.3833,-34.6
Forward,1911,16.3667,48.2
Forward,1911,-0.11,51.3728
Forward,1911,-0.0178,51.5067
Midfielder,1911,13.3833,52.5167
Forward,1911,19.0514,47.4925
Forward,1911,10.85,45.8833
Defender,1911,-3.8342,55.7336
Midfielder,1911.5,-2.3111,53.7969
Midfielder,1911.5,-2.8917,53.1903
Forward,1911.5,-1.7431,50.9931
Defender,1911.5,24.9375,60.1708
Defender,1911.5,8.4039,49.0092
Midfielder,1911.5,10.9833,45.4333
Forward,1912,3.2333,51.2167
Forward,1912,-1.79,50.9275
Forward,1912,2.35,48.85
Midfielder,1912,2.2389,48.885
Forward,1912,8.4039,49.0092
Midfielder,1912,8.0667,48.6333
,1912,8.4039,49.0092
Midfielder,1912,9.1833,45.4667
Defender,1912,9.4667,45.65
Defender,1912,8.6167,45.2
Forward,1912,9.1833,45.4667
Forward,1912,30.3,59.95
Forward,1912,30.3,59.95
Forward,1912,90.025,60.0167
Midfielder,1912,,
Midfielder,1912,30.3,59.95
Defender,1912,30.3,59.95
Forward,1912,-2.8883,56.6442
Forward,1912,-4.3083,55.8614
Midfielder,1912,18.4239,-33.9253
Defender,1912,-4.5739,55.9619
Forward,1912,-4.2944,55.8942
Goalkeeper,1912,-56.1819,-34.8836
Forward,1912.5,-1.6319,54.835
Midfielder,1912.5,-2.1994,53.0189
Midfielder,1912.5,2.2872,48.895
Midfielder,1912.5,19.7144,47.9203
Midfielder,1912.5,9.1833,45.4667
Forward,1912.5,8.55,45.75
Midfielder,1912.5,30.3,59.95
Midfielder,1912.5,,
Forward,1912.5,-4.1147,55.8475
,1912.5,-4.2589,55.8581
Forward,1913,4.35,50.85
Defender,1913,-3.5856,54.5481
Defender,1913,-1.4406,53.4986
Defender,1913,-1.4119,53.4961
Goalkeeper,1913,-1.3681,53.0669
Midfielder,1913,-2.2169,53.1619
Defender,1913,-2.52,53.1939
Midfielder,1913,-58.3817,-34.6033
Forward,1913,11.5667,48.1333
Goalkeeper,1913,12.3544,48.8797
Goalkeeper,1913,12.3833,51.3333
Forward,1913,30.7333,46.4667
Forward,1913,30.3,59.95
