PlayerName,Country,Age,Height,Position,YearsPlayed,MeanYear,Appearances,Goals,BirthPlace,Longitude,Latitude
Juan Vel&#xE1;squez,Peru,43,1.84,Midfielder,1999-2000,1999.5,6,0,Lima,-77.0283,-12.0433
Walter V&#xED;lchez,Peru,32,1.83,Defender,2001-,2007.5,64,1,Chiclayo,-79.8364,-6.7628
Miguel Villalta,Peru,33,1.87,Defender,2001-,2007.5,32,2,Cusco,-71.9722,-13.525
Carlos Zegarra,Peru,37,1.83,Midfielder,2003-,2008.5,24,1,Lima,-77.0283,-12.0433
Pablo Zegarra,Peru,41,1.78,Midfielder,1993-1999,1996,31,1,Lima,-77.0283,-12.0433
Fernando Amorebieta,Venezuela,29,1.92,Defender,2011-,2012.5,10,1,Pedro Mar&#xED;a Freites Municipality,,
Julio &#xC1;lvarez,Venezuela,33,1.8,Midfielder,2011-,2012.5,4,0,Caracas,-66.9167,10.5
Wilfredo Alvarado,Venezuela,43,1.8,Defender,1997-2008,2002.5,36,2,Acarigua,-66.9167,9.5597
Wilker &#xC1;ngel,Venezuela,21,1.9,Defender,2012-,2013,0,0,Valera,-70.6069,9.3125
Juan Arango,Venezuela,34,1.8,Midfielder,1999-,2006.5,120,22,Maracay,-67.5961,10.2469
Manuel Arteaga,Venezuela,20,1.85,Forward,2011-,2012.5,1,0,Maracaibo,-71.6333,10.65
Richard Jos&#xE9; Blanco,Venezuela,32,1.83,Forward,2011-,2012.5,6,0,La Guaira,-66.9331,10.6
Fernando Aristeguieta,Venezuela,22,1.87,Forward,2010-,2012,12,1,Caracas,-66.9167,10.5
Jaime Bustamante,Venezuela,34,1.87,Defender,2010-,2012,5,0,C&#xFA;cuta,-72.5039,7.8942
Daniel Arismendi,Venezuela,32,1.8,Forward,2006-,2010,31,11,Cuman&#xE1;,-64.1675,10.4564
Rub&#xE9;n Arocha,Venezuela,27,1.76,Midfielder,2006-,2010,3,0,Caracas,-66.9167,10.5
Pablo Camacho,Venezuela,23,1.78,Defender,2009-,2011.5,3,0,Caracas,-66.9167,10.5
&#xC1;ngel Chourio,Venezuela,29,1.76,Midfielder,2008-,2011,19,5,Maracay,-67.5961,10.2469
Rohel Brice&#xF1;o,Venezuela,30,1.82,Defender,2011-,2012.5,1,0,Barinas Barinas,-70.2,8.6333
Rafael Castell&#xED;n,Venezuela,39,1.79,Forward,1996-2005,2000.5,22,5,Matur&#xED;n,-63.1831,9.75
Gerzon Chac&#xF3;n,Venezuela,33,1.76,Defender,1999-2009,2004,21,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
C&#xE9;sar Baena (footballer),Venezuela,53,,Goalkeeper,1983-2002,1992.5,21,0,Caracas,-66.9167,10.5
Cristian C&#xE1;sseres,Venezuela,37,1.71,Forward,1999-2008,2003.5,28,2,Caracas,-66.9167,10.5
Yonathan Del Valle,Venezuela,24,1.77,Forward,2009-,2011.5,10,0,Valencia,-0.3833,39.4667
Gabriel Cichero,Venezuela,30,1.86,Defender,2004-,2009,51,3,Caracas,-66.9167,10.5
Pedro Acosta,Venezuela,54,,Defender,1979-1989,1984,34,2,Venezuela,-66.9667,10.5
H&#xE9;ctor Bidoglio,Venezuela,46,,Midfielder,1999-2000,1999.5,23,0,Rosario Santa Fe,-60.6667,-32.95
Gi&#xE1;como Di Giorgi,Venezuela,33,1.79,Midfielder,2002-,2008,35,0,Acarigua,-69.2019,9.5597
Juan Manuel Falc&#xF3;n,Venezuela,25,1.79,Forward,2008-,2011,3,0,Acarigua,-69.2019,9.5597
Marlon Antonio Fern&#xE1;ndez,Venezuela,28,1.65,Midfielder,2009-,2011.5,2,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
Rolf Feltscher,Venezuela,23,1.81,Defender,2011-,2012.5,6,0,B&#xFC;lach,8.5333,47.5167
&#xC1;gnel Flores,Venezuela,25,1.79,Midfielder,2010-,2012,13,0,Bol&#xED;var (state),-63.55,8.1219
Miguel Echenausi,Venezuela,46,,Defender,1991-2000,1995.5,28,2,T&#xE1;chira,-72.1167,7.9333
Alejandro Cichero,Venezuela,37,1.96,Defender,2002-2012,2007,47,2,Caracas,-66.9167,10.5
Pedro Febles,Venezuela,,,Forward,1979-1989,1984,25,5,Caracas,-66.9167,10.5
Juan Enrique Garc&#xED;a,Venezuela,44,1.8,Forward,1993-2009,2001,47,7,Bol&#xED;var (state),-63.55,8.1219
Juan Fuenmayor,Venezuela,35,1.76,Defender,2005-,2009.5,25,0,Maracaibo,-71.6333,10.65
Arqu&#xED;medes Figuera,Venezuela,24,1.7,Midfielder,2011-,2012.5,1,0,Cuman&#xE1;,-64.1675,10.4564
Jos&#xE9; Luis Granados,Venezuela,27,1.81,Defender,2008-,2011,17,1,Valera,-70.6069,9.3125
Andre&#xE9; Gonz&#xE1;lez,Venezuela,39,1.89,Defender,,,17,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
Ra&#xFA;l Gonz&#xE1;lez Guzm&#xE1;n,Venezuela,29,1.72,Defender,2011-,2012.5,1,0,Valencia Carabobo,-68.0039,10.1808
C&#xE9;sar Eduardo Gonz&#xE1;lez,Venezuela,32,1.79,Midfielder,2004-,2009,56,5,Matur&#xED;n,-63.1831,9.75
Alejandro Guerra,Venezuela,29,1.69,Midfielder,2006-,2010,40,4,Caracas,-66.9167,10.5
Alexander David Gonz&#xE1;lez,Venezuela,22,1.85,Defender,2009-,2011.5,24,0,Caracas,-66.9167,10.5
Juan Francisco Guerra,Venezuela,27,1.76,Midfielder,2010-,2012,6,0,Caracas,-66.9167,10.5
Diego Guerrero,Venezuela,28,1.75,Midfielder,2012-,2013,1,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
V&#xED;ctor Hugo Garc&#xED;a,Venezuela,20,1.75,Defender,2011-,2012.5,1,0,C&#xFA;a,-66.8833,10.1667
Dani Hern&#xE1;ndez,Venezuela,28,1.96,Goalkeeper,2010-,2012,19,0,Caracas,-66.9167,10.5
Evelio Hern&#xE1;ndez (footballer),Venezuela,30,1.72,Midfielder,2007-,2010.5,16,0,San Felipe Yaracuy,-68.7369,10.3406
Mikhael Jaimez-Ruiz,Venezuela,30,,Goalkeeper,,,,,M&#xE9;rida (state),-71.1833,8.4833
Franklin Lucena,Venezuela,33,1.81,Midfielder,2007-,2010.5,42,1,Acarigua,-69.2019,9.5597
&#xC9;dgar Jim&#xE9;nez,Venezuela,29,1.8,Midfielder,2006-,2010,8,0,Puerto Ordaz and San Felix,-62.4333,8.1833
Darwin Mach&#xED;s,Venezuela,21,1.7,Forward,2011-,2012.5,2,0,Tucupita,-62.0681,9.0592
Alan Liebeskind,Venezuela,29,1.81,Goalkeeper,2011-,2012.5,1,0,Puerto Ordaz and San Felix,-62.4333,8.1833
Jonay Hern&#xE1;ndez,Venezuela,35,1.85,Defender,2003-2008,2005.5,29,0,Maracay,-67.5961,10.2469
Giancarlo Maldonado,Venezuela,32,,Forward,2003-,2008.5,64,22,Caracas,-66.9167,10.5
Jes&#xFA;s Lugo,Venezuela,23,1.78,Midfielder,2011-,2012.5,2,0,Villa de Cura,-67.4892,10.0383
F&#xE9;lix Jos&#xE9; Hern&#xE1;ndez,Venezuela,42,1.82,Midfielder,1996-1999,1997.5,19,0,Venezuela,-66.9667,10.5
Josef Mart&#xED;nez,Venezuela,21,1.7,Forward,2011-,2012.5,14,2,Valencia Carabobo,-68.0039,10.1808
Leopoldo Jim&#xE9;nez,Venezuela,36,1.76,Midfielder,1999-2005,2002,64,0,Caracas,-66.9167,10.5
Rafael Mea Vitali,Venezuela,39,1.84,Defender,2001-2002,2001.5,11,0,Caracas,-66.9167,10.5
Carlos Maldonado (footballer),Venezuela,51,,Midfielder,1985-1991,1988,20,4,Montevideo,-56.1819,-34.8836
Massimo Margiotta,Venezuela,37,,Forward,2004-2005,2004.5,11,2,Maracaibo,-71.6333,10.65
Miguel Mea Vitali,Venezuela,33,1.79,Midfielder,,,85,1,Caracas,-66.9167,10.5
Elvis Mart&#xED;nez,Venezuela,43,1.82,Defender,1993-2002,1997.5,33,0,M&#xE9;rida M&#xE9;rida,-71.15,8.6
Jes&#xFA;s Meza,Venezuela,28,1.62,Midfielder,2007-,2010.5,6,0,M&#xE9;rida (state),-71.1833,8.4833
Gabriel Miranda,Venezuela,46,1.69,Midfielder,1994-1997,1995.5,17,3,Montevideo,-56.1819,-34.8836
Ruberth Mor&#xE1;n,Venezuela,41,1.73,Forward,1996-2007,2001.5,65,14,M&#xE9;rida M&#xE9;rida,-71.15,8.6
Alejandro Moreno,Venezuela,35,,Forward,2004-2011,2007.5,41,3,Barquisimeto,-69.3347,10.0636
Miku (footballer),Venezuela,29,1.85,Forward,2006-,2010,48,10,Caracas,-66.9167,10.5
Ricardo P&#xE1;ez,Venezuela,35,1.73,Midfielder,2000-2007,2003.5,64,6,Acarigua,-69.2019,9.5597
Daniel Noriega,Venezuela,37,1.72,Forward,1996-2005,2000.5,38,5,Puerto Ordaz and San Felix,-62.4333,8.1833
